BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster,Segment
3.735303703,0.818182,4.568506202,0,4.568506202,0,0.166667,0,0.083333,0,0,2,6.908754779,5.312230548,4.945277145,0,12,3,EMI Users
8.07198907,0.909091,0,0,0,8.770896284,0,0,0,0.25,4,0,8.853808275,8.31972533,6.978530763,0.222222,12,1,Big Spenders
7.822504368,1,6.651791488,6.651791488,0,0,1,1,0,0,0,12,8.922791624,6.434653643,6.442993546,0,12,2,Inactive Customers
6.707735226,1,2.833213344,2.833213344,0,0,0.083333,0.083333,0,0,0,1,7.090909822,6.52111403,5.504482546,0,12,3,EMI Users
7.501539893,1,7.1961471,0,7.1961471,0,0.666667,0,0.583333,0,0,8,7.496097345,7.24498278,7.786653975,0,12,0,Cash Advance Lovers
6.442955376,1,8.866724077,8.764620296,6.535792643,0,1,1,1,0,0,64,9.510519036,8.757046644,5.293635896,1,12,2,Inactive Customers
7.50914497,1,6.080390756,0,6.080390756,0,1,0,1,0,0,12,7.74109909,6.522188502,6.278585193,0,12,0,Cash Advance Lovers
6.923556256,1,6.759823555,6.496005463,5.303304908,0,0.333333,0.083333,0.25,0,0,5,8.853808275,6.535645497,5.74608628,0,12,2,Inactive Customers
5.031913793,0.545455,7.156644547,7.156644547,0,0,0.166667,0.166667,0,0,0,3,9.305741457,7.061137599,4.618108741,0,12,3,EMI Users
7.165590023,1,6.825590321,0,6.825590321,0,1,0,1,0,0,12,7.090909822,6.988690825,7.684185035,0,12,0,Cash Advance Lovers
6.448564569,0.818182,7.308663353,7.308663353,0,0,0.25,0.25,0,0,0,6,7.601402335,6.560491096,5.053369501,0,12,3,EMI Users
7.325101934,1,8.076822925,7.82453789,6.577527505,0,1,0.25,0.916667,0,0,26,8.006700845,6.412251161,6.196865654,0.25,12,2,Inactive Customers
6.827296968,1,7.668060983,6.042537817,7.449480553,0,0.75,0.166667,0.75,0,0,26,8.922791624,7.412698496,5.529976501,0.083333,12,2,Inactive Customers
